EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_ent,loss_kl,loss_pol_entpen,loss_pol_surr,loss_vf_loss
1000.0,-42.541544304898274,2,188,535.2896683216095,188000,-0.3939967155456543,5.1107845,0.008729952,0.0,-0.009710325,0.095747784
1000.0,-42.98966231157049,2,190,540.8424739837646,190000,0.37850719690322876,5.0829105,0.009050036,0.0,-0.013418923,0.09597334
1000.0,-42.97993775129226,2,192,546.3688488006592,192000,0.7812517881393433,5.0724196,0.012102521,0.0,-0.010819346,0.08441395
1000.0,-42.93743214251058,2,194,551.830066204071,194000,0.7240674495697021,5.059637,0.0070979395,0.0,-0.010087334,0.113328606
1000.0,-42.851423816462,2,196,557.3341126441956,196000,0.6528531908988953,5.0751905,0.007143936,0.0,-0.0141055845,0.06924779
1000.0,-42.97490914128694,2,198,562.9114916324615,198000,0.8204144537448883,5.041946,0.008000595,0.0,-0.011126416,0.10009561
1000.0,-43.45841496247079,2,200,568.4563114643097,200000,0.26857221126556396,5.0259304,0.013250583,0.0,-0.010160452,0.17443585
1000.0,-43.48541341213957,2,202,574.0023057460785,202000,0.900447778403759,5.009155,0.011385486,0.0,-0.007886607,0.10286547
1000.0,-43.91550163284985,2,204,579.5295205116272,204000,0.6648364663124084,4.97816,0.010965437,0.0,-0.013140445,0.18137935
1000.0,-43.90643806674879,2,206,585.0711486339569,206000,0.4100688695907593,4.931299,0.01032755,0.0,-0.017489422,0.053421512
1000.0,-43.46857829835563,2,208,590.6393978595734,208000,-0.05478262901306152,4.945374,0.003986412,0.0,-0.009452473,0.05848279
1000.0,-43.25087439041679,2,210,596.1445217132568,210000,0.28211647272109985,4.8858027,0.010243492,0.0,-0.009172568,0.06550883
1000.0,-42.83951539011744,2,212,601.7380723953247,212000,0.8879810720682144,4.862107,0.008614188,0.0,-0.0105264615,0.028412363
1000.0,-42.574990618865264,3,215,607.476539850235,215000,0.41318148374557495,4.8917694,0.010037072,0.0,-0.014326893,0.036010895
1000.0,-42.99945494489112,2,217,612.9747083187103,217000,0.719205915927887,4.828338,0.009339086,0.0,-0.017531127,0.04313094
1000.0,-42.94583149550025,2,219,618.5090930461884,219000,0.7041574120521545,4.823282,0.011959448,0.0,-0.012958139,0.046272367
1000.0,-42.84937641488043,2,221,624.1800014972687,221000,0.7124597728252411,4.816649,0.0047799307,0.0,-0.0070444555,0.042158708
1000.0,-42.4081501425631,2,223,629.7232694625854,223000,0.7168211936950684,4.807746,0.010575658,0.0,-0.014448579,0.040066935
1000.0,-42.380413399497385,2,225,635.2723665237427,225000,0.5817351043224335,4.7468114,0.008669666,0.0,-0.013526701,0.027290508
1000.0,-42.11658741397435,2,227,640.8441655635834,227000,0.6171025037765503,4.767366,0.009714167,0.0,-0.0138175925,0.04309919
1000.0,-42.14015086344687,2,229,646.4359607696533,229000,0.621399462223053,4.755423,0.007357947,0.0,-0.010415632,0.05191535
1000.0,-42.04936791603294,2,231,651.9708137512207,231000,0.849395364522934,4.809352,0.006156606,0.0,-0.012594616,0.056585655
1000.0,-42.43348432975472,2,233,657.5548551082611,233000,0.9145591333508492,4.7867374,0.015453492,0.0,-0.011720829,0.11175305
1000.0,-42.64003416489605,2,235,663.122964143753,235000,0.9308926686644554,4.7722936,0.014974171,0.0,-0.015759649,0.10408421
1000.0,-42.08150655257535,2,237,668.6790282726288,237000,0.39920520782470703,4.748916,0.008387102,0.0,-0.015498623,0.027250633
1000.0,-42.47025149984101,2,239,674.2924525737762,239000,0.7153352499008179,4.7762346,0.008778904,0.0,-0.01197508,0.047838062
1000.0,-42.29793621953064,2,241,679.7685241699219,241000,0.43028849363327026,4.750754,0.010626773,0.0,-0.013755368,0.071775995
1000.0,-42.760614655550235,2,243,685.3651814460754,243000,0.7874806821346283,4.7243133,0.00847278,0.0,-0.009521389,0.056497786
1000.0,-42.49251097059025,2,245,690.8820283412933,245000,0.6012669205665588,4.7063813,0.01087373,0.0,-0.009241054,0.09323365
1000.0,-42.04868152460197,2,247,696.4130618572235,247000,0.030952811241149902,4.7014003,0.013163402,0.0,-0.01630747,0.044899933
1000.0,-41.7536456862403,2,249,701.9855320453644,249000,0.7171149551868439,4.688623,0.010473303,0.0,-0.013830764,0.059076544
1000.0,-41.75951052975744,2,251,707.5700953006744,251000,0.8600079864263535,4.6988587,0.007363608,0.0,-0.011033927,0.07870058
1000.0,-41.84057313199151,2,253,713.101212978363,253000,0.5143316686153412,4.679342,0.006970589,0.0,-0.0139042735,0.0900026
1000.0,-42.0584768072075,3,256,718.8925905227661,256000,0.3574337363243103,4.6556087,0.009504775,0.0,-0.0074051167,0.07532658
1000.0,-42.330035446954035,2,258,724.337411403656,258000,0.35084038972854614,4.647875,0.008592469,0.0,-0.008205213,0.105860315
1000.0,-41.434349274106005,2,260,729.9274225234985,260000,0.38790565729141235,4.667602,0.0120829735,0.0,-0.019485159,0.0494824
1000.0,-40.91119737175641,2,262,735.5193650722504,262000,0.4461809992790222,4.6839232,0.010126573,0.0,-0.012143418,0.062123463
1000.0,-40.86543107643574,2,264,741.0891845226288,264000,0.569583535194397,4.6693177,0.007426497,0.0,-0.015239669,0.09470097
1000.0,-41.62730739067053,2,266,746.7274029254913,266000,0.8058400899171829,4.666681,0.0070039188,0.0,-0.008656678,0.1110625
1000.0,-41.00296250264347,2,268,752.3244822025299,268000,-0.032454729080200195,4.6693892,0.009671252,0.0,-0.010171341,0.08940826
1000.0,-41.315737143082146,2,270,757.8850345611572,270000,0.7484923601150513,4.6593175,0.008731731,0.0,-0.013040708,0.087647945
1000.0,-41.3539559383526,2,272,763.3783113956451,272000,0.6192004978656769,4.682794,0.012558462,0.0,-0.0054269983,0.1725838
1000.0,-41.753461186731656,2,274,768.9045162200928,274000,0.8116855025291443,4.7099557,0.013583524,0.0,-0.011200366,0.15177405
1000.0,-42.160051471059404,2,276,774.3117382526398,276000,0.365355908870697,4.6695247,0.009796293,0.0,-0.010145107,0.10056454
1000.0,-42.70588686938177,2,278,779.8554158210754,278000,0.5097250044345856,4.6841483,0.019437727,0.0,-0.010102358,0.16213596
1000.0,-43.155635492394396,2,280,785.4410889148712,280000,0.7939564287662506,4.6345725,0.012617967,0.0,-0.008562911,0.12423396
1000.0,-43.338457934537864,2,282,791.0347585678101,282000,0.21711671352386475,4.638824,0.0115780765,0.0,-0.011546474,0.13009496
1000.0,-43.224140183001865,2,284,796.5899050235748,284000,0.4457881450653076,4.588227,0.0077460315,0.0,-0.010572391,0.115043186
1000.0,-43.237005358493434,2,286,802.1603662967682,286000,0.6174568831920624,4.5866485,0.008132832,0.0,-0.012940971,0.103185736
1000.0,-42.65005421966342,2,288,807.7136843204498,288000,0.5040750503540039,4.5479803,0.012802226,0.0,-0.017059892,0.09500042
1000.0,-42.30770742672812,2,290,813.3205559253693,290000,0.4544624090194702,4.5278726,0.00972797,0.0,-0.0142944325,0.057833537
